记录号,采集时间,Soil_VWC_1,Soil_T_1,Dielectric_1,Soil_VWC_2,Soil_T_2,Dielectric_2,Soil_VWC_3,Soil_T_3,Dielectric_3,Soil_VWC_4,Soil_T_4,Dielectric_4,Soil_VWC_5,Soil_T_5,Dielectric_5,Rain_mm_Tot
39628,2019-06-01 00:00:00,0.165,11.900,8.820,0.225,13.700,11.970,0.233,14.700,12.410,0.224,13.600,11.910,0.281,9.700,15.320,0
39629,2019-06-01 00:10:00,0.165,11.800,8.820,0.225,13.600,11.960,0.233,14.600,12.400,0.224,13.600,11.900,0.281,9.700,15.320,0
39630,2019-06-01 00:20:00,0.165,11.700,8.820,0.225,13.400,11.950,0.233,14.600,12.400,0.224,13.600,11.900,0.281,9.700,15.320,0
39631,2019-06-01 00:30:00,0.165,11.600,8.820,0.225,13.300,11.950,0.233,14.400,12.400,0.224,13.500,11.910,0.281,9.700,15.320,0
39632,2019-06-01 00:40:00,0.165,11.500,8.820,0.225,13.200,11.940,0.233,14.400,12.400,0.224,13.500,11.910,0.281,9.700,15.320,0
39633,2019-06-01 00:50:00,0.165,11.400,8.820,0.225,13.200,11.940,0.233,14.300,12.390,0.224,13.500,11.910,0.281,9.700,15.320,0
39634,2019-06-01 01:00:00,0.165,11.300,8.820,0.224,13.000,11.930,0.233,14.200,12.390,0.224,13.400,11.910,0.281,9.700,15.320,0
39635,2019-06-01 01:10:00,0.165,11.100,8.810,0.225,12.900,11.940,0.233,14.200,12.390,0.224,13.500,11.910,0.281,9.700,15.320,0
39636,2019-06-01 01:20:00,0.164,11.000,8.800,0.224,12.800,11.930,0.233,14.100,12.390,0.224,13.400,11.900,0.281,9.700,15.320,0
39637,2019-06-01 01:30:00,0.164,10.900,8.790,0.224,12.700,11.930,0.233,14.000,12.390,0.224,13.400,11.910,0.281,9.700,15.320,0
39638,2019-06-01 01:40:00,0.164,10.700,8.800,0.224,12.600,11.920,0.233,13.900,12.390,0.224,13.400,11.900,0.281,9.700,15.320,0
39639,2019-06-01 01:50:00,0.164,10.600,8.790,0.224,12.500,11.920,0.232,13.800,12.380,0.224,13.300,11.900,0.281,9.700,15.320,0
39640,2019-06-01 02:00:00,0.164,10.500,8.780,0.224,12.400,11.920,0.232,13.700,12.370,0.224,13.300,11.890,0.281,9.700,15.320,0
39641,2019-06-01 02:10:00,0.164,10.400,8.800,0.224,12.300,11.920,0.232,13.600,12.360,0.224,13.300,11.890,0.281,9.700,15.320,0
39642,2019-06-01 02:20:00,0.164,10.400,8.770,0.224,12.200,11.920,0.232,13.500,12.360,0.223,13.200,11.880,0.281,9.700,15.320,0
39643,2019-06-01 02:30:00,0.164,10.200,8.770,0.224,12.100,11.920,0.232,13.500,12.340,0.223,13.200,11.880,0.281,9.700,15.320,0
39644,2019-06-01 02:40:00,0.163,10.100,8.760,0.224,12.000,11.920,0.232,13.400,12.340,0.225,13.200,11.950,0.281,9.700,15.320,0
39645,2019-06-01 02:50:00,0.163,10.100,8.750,0.224,11.900,11.920,0.232,13.300,12.340,0.223,13.100,11.880,0.281,9.700,15.320,0
39646,2019-06-01 03:00:00,0.163,10.100,8.750,0.224,11.900,11.910,0.231,13.200,12.330,0.223,13.100,11.880,0.281,9.700,15.320,0
39647,2019-06-01 03:10:00,0.163,10.000,8.750,0.224,11.800,11.900,0.230,13.100,12.260,0.224,13.100,11.890,0.281,9.700,15.320,0
39648,2019-06-01 03:20:00,0.163,10.000,8.750,0.224,11.700,11.900,0.231,13.100,12.330,0.224,13.100,11.890,0.281,9.700,15.320,0
39649,2019-06-01 03:30:00,0.163,9.900,8.750,0.224,11.600,11.900,0.231,13.000,12.330,0.223,13.000,11.880,0.281,9.700,15.320,0
39650,2019-06-01 03:40:00,0.163,9.900,8.750,0.224,11.600,11.890,0.231,13.000,12.320,0.223,13.000,11.880,0.281,9.700,15.320,0
39651,2019-06-01 03:50:00,0.163,9.900,8.750,0.223,11.500,11.880,0.231,12.900,12.320,0.223,13.000,11.870,0.281,9.700,15.320,0
39652,2019-06-01 04:00:00,0.163,9.800,8.750,0.223,11.400,11.860,0.231,12.800,12.320,0.223,12.900,11.870,0.281,9.700,15.310,0
39653,2019-06-01 04:10:00,0.163,9.800,8.750,0.223,11.400,11.860,0.231,12.800,12.320,0.223,12.900,11.860,0.281,9.800,15.320,0
39654,2019-06-01 04:20:00,0.163,9.700,8.750,0.223,11.300,11.860,0.231,12.700,12.320,0.223,12.800,11.870,0.281,9.700,15.320,0
39655,2019-06-01 04:30:00,0.163,9.600,8.740,0.223,11.200,11.870,0.231,12.700,12.320,0.223,12.800,11.870,0.281,9.800,15.320,0
39656,2019-06-01 04:40:00,0.163,9.500,8.740,0.223,11.200,11.850,0.231,12.600,12.320,0.223,12.800,11.870,0.281,9.800,15.320,0
